type,item_id,item_text,fundamental_id,facet_id,2017_mean,2018_mean,2019_mean,2020_mean,2021_mean,2022_mean,2023_mean,2024_mean,2025_mean,2026_mean,is_reverse_scored,response_scale_min,response_scale_max
fundamental,vision_1,Our vision is clearly communicated throughout the company.,Vision,Vision,3.849056604,,4.382059801,4.125,3.952380952,4.045627376,4.011554622,4.285714286,4.1002331,4.294117647,FALSE,1,5
fundamental,vision_2,Our vision is inspiring.,Vision,Vision,4,,4.026666667,4.652173913,3.77037037,3.946666667,3.947437582,4.24,3.985915493,4.411764706,FALSE,1,5
fundamental,vision_3,Our vision challenges those who work here to continuously improve.,Vision,Vision,4.067961165,,4.263333333,4.565217391,3.734317343,3.845124283,3.818181818,4.0875,3.91588785,4.235294118,FALSE,1,5
fundamental,vision_4,Our vision is long-term oriented.,Vision,Vision,3.951456311,,4.272425249,4.708333333,3.823095823,4.086206897,4.008859358,4.44,4.103286385,4.529411765,FALSE,1,5
fundamental,purpose_1,Our organization creates value in the community in which it operates.,Purpose,Organizational Purpose,4.081632653,,4.041522491,4.8125,4.035377358,4.245229008,4.206758305,3.958333333,4.335087719,4.457142857,FALSE,1,5
fundamental,purpose_2,Our organization builds and maintains quality relationships with all stakeholders.,Purpose,Organizational Purpose,4.092783505,,3.995867769,4.708333333,4.065967016,4.15270936,4.174547983,3.965860597,4.296096904,4.4,FALSE,1,5
fundamental,purpose_3,Our organization considers the needs of the community and society.,Purpose,Organizational Purpose,3.822222222,,4.388888889,4.833333333,3.886219975,4.086870681,4.033057851,4.098104794,3.940584089,,FALSE,1,5
fundamental,purpose_4,Our organization's purpose/mission makes me feel that my work is meaningful.,Purpose,Meaningful Work,4.134615385,,,4.8125,3.812135356,3.988274707,4.040571429,4.011178862,4.162954279,4.171428571,FALSE,1,5
fundamental,purpose_5,I am proud to work for this organization.,Purpose,Meaningful Work,4.452830189,,,4.875,4.183294664,4.339851024,4.365909091,4.285282258,4.478463329,4.454545455,FALSE,1,5
fundamental,purpose_6,It is clear to me how my work connects to our broader organizational purpose.,Purpose,Meaningful Work,4.4,,,4.6875,4.119214586,4.197554092,4.183984116,3.914022518,4.281451141,4.454545455,FALSE,1,5
fundamental,strategy_1,People here have clarity on which decisions fall within their jurisdiction.,Strategy,Strategic Alignment & Execution,3.63,,3.774193548,4.125,3.545977011,3.594620557,3.628180039,3.599734043,3.732880938,3.771428571,FALSE,1,5
fundamental,strategy_2,People feel trusted and empowered to make decisions that are within their authority.,Strategy,Strategic Alignment & Execution,4.16,,3.838709677,4.416666667,3.742550656,3.800191205,3.789534884,3.735596708,3.891692308,3.714285714,FALSE,1,5
fundamental,strategy_3,Our policies and practices are aligned with our strategic objectives.,Strategy,Strategic Alignment & Execution,3.75,,4.277777778,4.565217391,3.867149758,3.860627178,3.868620038,3.849570201,3.845925926,4.171428571,FALSE,1,5
fundamental,strategy_4,New organizational processes are rolled out rather seamlessly.,Strategy,Strategic Alignment & Execution,3.434782609,,3.12455516,3.958333333,3.599423631,3.462311558,3.327272727,3.386621315,3.304761905,3.823529412,FALSE,1,5
fundamental,strategy_5,Management are nimble in responding to changes in our market and environment.,Strategy,Strategic Alignment & Execution,4.089108911,,4.5,4.391304348,3.873341375,3.873156342,3.891795482,3.762460233,4.035736677,3.823529412,FALSE,1,5
fundamental,strategy_6,Our organization's progress toward strategic objectives is tracked and communicated widely.,Strategy,Strategic Alignment & Execution,3.520833333,,,4.375,3.652644231,3.703777336,3.733918129,3.636608345,3.879012346,3.942857143,FALSE,1,5
fundamental,strategy_7,People are held accountable to their role in achieving organizational goals.,Strategy,Strategic Alignment & Execution,3.908163265,,,4.3125,3.436233611,3.641618497,3.660828955,3.616424116,3.779639975,3.885714286,FALSE,1,5
fundamental,strategy_8,I know and understand our organization's strategy.,Strategy,Strategic Clarity,3.836538462,,3.964412811,4.4375,3.879330944,3.968720379,3.984944991,3.823684211,4.081381011,4.171428571,FALSE,1,5
fundamental,strategy_9,It is clear to me how my work integrates into our overall strategy.,Strategy,Strategic Clarity,4.262135922,,,4.5,4.042654028,4.110371075,4.11522872,4.067017083,4.206662554,4.342857143,FALSE,1,5
fundamental,communication_1,I can speak openly with my supervisor.,Communication,Immediate Communication Among Direct Leaders,4.644230769,,3.963636364,4.533333333,4.323389021,4.327014218,4.319444444,4.297325103,4.371871275,4.363636364,FALSE,1,5
fundamental,communication_2,I am content with the way my supervisor communicates information to me.,Communication,Immediate Communication Among Direct Leaders,4.442307692,,,4.466666667,4.07875895,4.146780303,4.114173228,4.071942446,4.206443914,4.272727273,FALSE,1,5
fundamental,communication_3,I can speak openly with members of my group/unit.,Communication,Immediate Communication Among Direct Leaders,4.625,,,4.6875,4.341288783,4.300189394,4.297024144,4.229038855,4.316725979,4.2,FALSE,1,5
fundamental,communication_4,"In general, information is readily shared amongst employees in this organization.",Communication,General Communication,3.884615385,,3.861209964,4.47826087,3.596176822,3.652173913,3.711148649,3.611740474,3.831346841,3.794117647,FALSE,1,5
fundamental,communication_5,I am content with the way information is communicated between my group/unit and other areas of the organization.,Communication,General Communication,3.696078431,,3.391891892,4.5625,3.581730769,3.651096282,3.673837209,3.53340185,3.758682635,4,FALSE,1,5
