"filter_id","fundamental_id","item_id","item_label","mean","agree_pct","neutral_pct","disagree_pct","vs_industry","vs_prior"
"department=all|status=all|location=all","Purpose","item_1","Our organization creates value in the community in which we operate.",4.53343023255814,93,6,1,0,0
"department=all|status=all|location=all","Purpose","item_2","Our organization builds and maintains quality relationships with all stakeholders.",4.45112781954887,90,9,1,0,0
"department=all|status=all|location=all","Purpose","item_3","Our organization's strategic objectives make me feel that my work is meaningful.",4.29377713458755,87,11,2,0,0
"department=all|status=all|location=all","Purpose","item_4","I am proud to work for this organization.",4.56791907514451,93,6,1,0,0
"department=all|status=all|location=all","Purpose","item_5","It is clear to me how my work connects to our broader organizational purpose.",4.37300435413643,89,9,2,0,0
"department=all|status=all|location=all","Purpose","item_6","Our organization<U+2019>s purpose statement motivates me.",4.1064139941691,77,19,4,0,0
"department=all|status=all|location=all","Purpose","item_7","People at this organization like one another.",4.17099236641221,82,16,2,0,0
"department=all|status=all|location=all","Purpose","item_8","I believe my workplace is safe.",4.58499234303216,95,5,0,0,0
"department=all|status=all|location=all","Strategy","item_1","I know and understand our organization's strategy.",4.25898203592814,86,12,2,0,0
"department=all|status=all|location=all","Strategy","item_2","It is clear to me how my work integrates into our overall strategy.",4.24925373134328,87,11,2,0,0
"department=all|status=all|location=all","Strategy","item_3","People here have clarity on which decisions fall within their responsibility.",3.91071428571429,73,18,9,0,0
"department=all|status=all|location=all","Strategy","item_4","People feel trusted and empowered to make decisions that are within their authority.",4.01490312965723,77,16,7,0,0
"department=all|status=all|location=all","Strategy","item_5","Our organization's progress toward strategic objectives is tracked and communicated widely.",4.1390134529148,83,13,4,0,0
"department=all|status=all|location=all","Strategy","item_6","People are held accountable to their role in achieving organizational goals.",3.88102409638554,72,18,10,0,0
"department=all|status=all|location=all","Strategy","item_7","My leader is effective at setting expectations and holding the team accountable.",4.19969742813918,81,15,4,0,0
"department=all|status=all|location=all","Strategy","item_8","The executive team clarifies priorities and regularly reinforces what is important.",4.1866464339909,84,14,2,0,0
"department=all|status=all|location=all","Leadership","item_1","Leaders are nimble in responding to changes in our market and environment.",4.20547945205479,86,11,3,0,0
"department=all|status=all|location=all","Leadership","item_2","My leader acknowledges my individual needs and encourages my individual development.",4.30060422960725,86,10,4,0,0
"department=all|status=all|location=all","Leadership","item_3","My leader articulates a compelling vision for the future of our group/unit.",4.17325227963526,82,13,5,0,0
"department=all|status=all|location=all","Leadership","item_4","My leader instills pride and confidence in our group/unit.",4.31515151515151,87,8,5,0,0
"department=all|status=all|location=all","Leadership","item_5","I am confident in our organization's executive team.",4.3161094224924,87,12,1,0,0
"department=all|status=all|location=all","Leadership","item_6","Our executive team treats all employees with respect.",4.46798780487805,90,9,1,0,0
"department=all|status=all|location=all","Leadership","item_7","Leaders are always looking for new ways to improve organizational practices and processes.",4.08628659476117,80,16,4,0,0
"department=all|status=all|location=all","Leadership","item_8","My leader communicates and shows their commitment to creating a safe and healthy work environment.",4.51987281399046,93,6,1,0,0
"department=all|status=all|location=all","Communication","item_1","Information is readily shared amongst employees in this organization.",3.95373134328358,74,19,7,0,0
"department=all|status=all|location=all","Communication","item_2","I am content with the way information is communicated between my group/unit and other areas of the organization.",3.91441441441441,72,21,7,0,0
"department=all|status=all|location=all","Communication","item_3","The executive team is communicative about issues of importance.",4.15946348733234,81,17,2,0,0
"department=all|status=all|location=all","Communication","item_4","I am content with the way my leader communicates information to me.",4.23958333333333,84,11,5,0,0
"department=all|status=all|location=all","Communication","item_5","I can speak openly with my leader.",4.38187221396731,87,9,4,0,0
"department=all|status=all|location=all","Communication","item_6","I can speak openly with colleagues.",4.35066864784547,86,11,3,0,0
"department=all|status=all|location=all","Learning & innovation","item_1","At this organization, time is made for reflection and exploration of new ideas.",3.90277777777778,72,21,7,0,0
"department=all|status=all|location=all","Learning & innovation","item_2","We treat mistakes as an opportunity for growth.",4.08868501529052,81,15,4,0,0
"department=all|status=all|location=all","Learning & innovation","item_3","People here feel that they can share new or different perspectives.",4.08980213089802,80,17,3,0,0
"department=all|status=all|location=all","Learning & innovation","item_4","We stay on top of new and important trends and technology.",4.06521739130435,78,17,5,0,0
"department=all|status=all|location=all","Respect, care, and trust","item_1","Even when there is a disagreement, people still show respect for one another.",4.19724770642202,83,15,2,0,0
"department=all|status=all|location=all","Respect, care, and trust","item_2","There is a high level of respect within our culture.",4.31562974203338,86,11,3,0,0
"department=all|status=all|location=all","Respect, care, and trust","item_3","People at this organization value the relationships they have with one another.",4.23744292237443,86,13,1,0,0
"department=all|status=all|location=all","Respect, care, and trust","item_4","People at this organization embrace collaboration when appropriate.",4.23170731707317,87,12,1,0,0
"department=all|status=all|location=all","Respect, care, and trust","item_5","It is important to act ethically at this organization.",4.52727272727273,94,6,0,0,0
"department=all|status=all|location=all","Respect, care, and trust","item_6","People at this organization trust one another.",4.06717557251908,80,15,5,0,0
"department=all|status=all|location=all","Respect, care, and trust","item_7","I feel a sense of belonging at our organization.",4.27286585365854,84,12,4,0,0
"department=all|status=all|location=all","Respect, care, and trust","item_8","People<U+2019>s differences are respected and appreciated at our organization.",4.28134556574924,86,12,2,0,0
"department=all|status=all|location=all","Performance development","item_1","I am content with the quality of feedback I receive.",4.1219512195122,81,15,4,0,0
"department=all|status=all|location=all","Performance development","item_2","I receive feedback on a regular basis.",3.93119266055046,71,22,7,0,0
"department=all|status=all|location=all","Performance development","item_3","Performance is tracked and assessed fairly at this organization.",3.90077519379845,71,20,9,0,0
"department=all|status=all|location=all","Performance development","item_4","Successes and/or achievements are celebrated at this organization.",4.03358778625954,76,18,6,0,0
"department=all|status=all|location=all","Performance development","item_5","I understand my total compensation package.",4.26429675425039,86,10,4,0,0
"department=all|status=all|location=all","Performance development","item_6","I believe my compensation is linked to my performance.",3.98914728682171,76,15,9,0,0
"department=all|status=all|location=all","Performance development","item_7","At this organization, employees are given professional development opportunities.",4.22445820433437,82,15,3,0,0
"department=all|status=all|location=all","Safety","item_1","We have a strong safety culture at the organization.",4.61715160796325,95,5,0,0,0
"department=all|status=all|location=all","Safety","item_2","We always report safety incidents when we become aware of them.",4.52013422818792,92,7,1,0,0
"department=all|status=all|location=all","Safety","item_3","I have the opportunity to voice my concerns regarding safety.",4.54634146341463,94,6,0,0,0
