"filter_id","takeaway_id","theme_title","context_text","metric_label","metric_value","metric_status"
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_1","Leadership and direction clarity","Comments consistently tie strong leadership experiences to visible decision logic, clear sequencing, and better line-of-sight from enterprise strategy to day-to-day work.","Leadership",4.3,"Above Standard"
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_2","Cross-team operating flow","Employees describe uneven collaboration most often at handoff points where accountability is diffuse or process expectations vary between teams.","Communication",4.18,"Above Standard"
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_3","Workload sustainability","Narrative feedback suggests that pace becomes manageable when priorities are stabilized, resourcing is realistic, and teams are not repeatedly absorbing avoidable rework.","Performance development",4.08,"Above Standard"
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_1","Leadership and direction clarity","Comments consistently tie strong leadership experiences to visible decision logic, clear sequencing, and better line-of-sight from enterprise strategy to day-to-day work.","Leadership",4.55,"Above Standard"
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_2","Cross-team operating flow","Employees describe uneven collaboration most often at handoff points where accountability is diffuse or process expectations vary between teams.","Communication",4.39,"Above Standard"
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_3","Workload sustainability","Narrative feedback suggests that pace becomes manageable when priorities are stabilized, resourcing is realistic, and teams are not repeatedly absorbing avoidable rework.","Performance development",4.35,"Above Standard"
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_1","Leadership and direction clarity","Comments consistently tie strong leadership experiences to visible decision logic, clear sequencing, and better line-of-sight from enterprise strategy to day-to-day work.","Leadership",4.44,"Above Standard"
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_2","Cross-team operating flow","Employees describe uneven collaboration most often at handoff points where accountability is diffuse or process expectations vary between teams.","Communication",4.27,"Above Standard"
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_3","Workload sustainability","Narrative feedback suggests that pace becomes manageable when priorities are stabilized, resourcing is realistic, and teams are not repeatedly absorbing avoidable rework.","Performance development",4.2,"Above Standard"
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_1","Leadership and direction clarity","Comments consistently tie strong leadership experiences to visible decision logic, clear sequencing, and better line-of-sight from enterprise strategy to day-to-day work.","Leadership",4.47,"Above Standard"
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_2","Cross-team operating flow","Employees describe uneven collaboration most often at handoff points where accountability is diffuse or process expectations vary between teams.","Communication",4.5,"Above Standard"
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","takeaway_3","Workload sustainability","Narrative feedback suggests that pace becomes manageable when priorities are stabilized, resourcing is realistic, and teams are not repeatedly absorbing avoidable rework.","Performance development",4.31,"Above Standard"
