"filter_id","comment_id","takeaway_id","fundamental","outcome","question_label","comment_text","sort_order"
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_1","takeaway_1","Leadership","Engagement","General comments","Communication improves when leaders close the loop on what changed and what did not.",1
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_2","takeaway_1","Strategy","Engagement","General comments","Decision context matters. People are more confident when tradeoffs are visible and sequencing is explicit.",2
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_3","takeaway_1","Strategy","Engagement","General comments","The strongest periods are when strategy is translated into a clear local plan instead of broad messaging.",3
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_4","takeaway_1","Leadership","Engagement","General comments","When leaders explain why priorities are changing, teams can adapt quickly without losing momentum.",4
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_5","takeaway_2","Strategy","Work satisfaction","General comments","Cross-functional work is smoother when teams agree on shared checkpoints before execution starts.",5
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_6","takeaway_2","Strategy","Work satisfaction","General comments","Most delays happen at handoffs between teams where ownership is assumed rather than clarified.",6
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_7","takeaway_2","Strategy","Work satisfaction","General comments","Shared workflows would reduce rework and make responsibilities easier to track.",7
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_8","takeaway_2","Strategy","Work satisfaction","General comments","There is good intent to collaborate, but process consistency varies too much across groups.",8
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_9","takeaway_3","Strategy","Burnout","General comments","People want a more sustainable rhythm with better sequencing and fewer last-minute changes.",9
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_10","takeaway_3","Strategy","Burnout","General comments","Teams are willing to stretch, though capacity planning still feels reactive in some areas.",10
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_11","takeaway_3","Strategy","Burnout","General comments","The pace is manageable when priorities stay stable, but repeated shifts create unnecessary pressure.",11
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_12","takeaway_3","Strategy","Burnout","General comments","Workload feels most reasonable when staffing, scope, and timelines are aligned early.",12
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_1","takeaway_1","Leadership","Engagement","General comments","Communication improves when leaders close the loop on what changed and what did not.",1
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_2","takeaway_1","Strategy","Engagement","General comments","Decision context matters. People are more confident when tradeoffs are visible and sequencing is explicit.",2
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_3","takeaway_1","Strategy","Engagement","General comments","The strongest periods are when strategy is translated into a clear local plan instead of broad messaging.",3
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_4","takeaway_1","Leadership","Engagement","General comments","When leaders explain why priorities are changing, teams can adapt quickly without losing momentum.",4
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_5","takeaway_2","Strategy","Work satisfaction","General comments","Cross-functional work is smoother when teams agree on shared checkpoints before execution starts.",5
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all","c_6","takeaway_2","Strategy","Work satisfaction","General comments","Most delays happen at handoffs between teams where ownership is assumed rather than clarified.",6
